홈팀,어웨이팀,예매시간,경기시간,productId,scheduleId
KIA,LG,09-20 11:00,09-27 17:00,62036,1521263860
삼성,한화,09-22 11:00,09-29 18:30,62111,340072870
KIA,kt,09-22 11:00,09-29 18:30,62036,1623057835
삼성,한화,09-22 11:00,09-30 18:30,62111,806013385
KIA,kt,09-23 11:00,09-30 18:30,62036,1451416625
삼성,한화,09-22 11:00,10-01 18:30,62111,1781834353
KIA,kt,09-24 11:00,10-01 18:30,62036,1526327762
LG,KIA,09-26 11:00,10-03 14:00,61881,354324833
한화,키움,09-26 11:00,10-03 14:00,62162,1548741973
삼성,두산,09-26 11:00,10-03 14:00,62111,410789491
kt,롯데,09-26 16:00,10-03 14:00,61322,85322839
LG,KIA,09-27 11:00,10-04 14:00,61881,583294128
한화,키움,09-27 11:00,10-04 14:00,62162,1297891982
삼성,두산,09-26 11:00,10-04 14:00,62111,485345627
kt,롯데,09-27 16:00,10-04 17:00,61322,1318298391
LG,KIA,09-28 11:00,10-05 14:00,61881,721190323
한화,키움,09-28 11:00,10-05 14:00,62162,394764422
삼성,두산,09-26 11:00,10-05 14:00,62111,1689769698
kt,롯데,09-28 16:00,10-05 14:00,61322,526105163
LG,NC,09-29 11:00,10-06 18:30,61881,1950116347
한화,SS,09-29 11:00,10-06 18:30,62162,1698157473
KIA,삼성,09-29 11:00,10-06 18:30,62036,22767454
LG,두산,09-30 11:00,10-07 18:30,61881,1467816515
kt,삼성,09-30 16:00,10-07 18:30,61322,717168602
